Time,Boom_Top_Rel,Boom_Bottom_Rel,Bucket_X,Bucket_Y,Bucket_Z
5.7747,221.54999999998836,1381.8500000000931,0,0,0
5.7747,517.5499999999884,1381.8500000000931,0,0,0
5.7758,509.54999999998836,835.8500000000931,0,0,0
5.7885,509.54999999998836,1894.8500000000931,0,0,0
5.9594,454.54999999998836,1894.8500000000931,0,0,0
5.9594,454.54999999998836,1743.8500000000931,0,0,0
5.9605,404.54999999998836,1743.8500000000931,0,0,0
5.9938,246.54999999998836,1653.8500000000931,0,0,0
6.1589,246.54999999998836,1653.8500000000931,0,0,0
6.1589,205.54999999998836,1522.8500000000931,0,0,0
6.1599,205.54999999998836,1522.8500000000931,0,0,0
6.1993,160.54999999998836,1534.8500000000931,0,0,0
6.3568,160.54999999998836,1534.8500000000931,-9,-15,552
6.3578,95.54999999998836,1638.8500000000931,-9,-15,552
6.3578,107.54999999998836,1592.8500000000931,-9,-15,552
6.403,107.54999999998836,1592.8500000000931,-9,-15,552
6.5592,-39.45000000001164,1855.8500000000931,0,0,0
6.5602,-39.45000000001164,1855.8500000000931,0,0,0
6.5602,-115.45000000001164,1767.8500000000931,0,0,0
6.6085,-180.45000000001164,1767.8500000000931,-13,-13,570
6.7591,-180.45000000001164,1980.8500000000931,0,0,0
6.7601,-224.45000000001164,1980.8500000000931,0,0,0
6.7601,-224.45000000001164,2075.850000000093,0,0,0
6.8135,-313.45000000001164,2075.850000000093,0,0,0
6.9944,-388.45000000001164,2421.850000000093,0,0,0
6.9954,-388.45000000001164,2948.850000000093,0,0,0
6.9954,-224.45000000001164,2948.850000000093,0,0,0
7.0182,-224.45000000001164,8826.850000000093,0,0,0
7.2192,-640.4500000000116,8826.850000000093,0,0,0
7.2203,-640.4500000000116,16166.850000000093,0,0,0
7.2203,-1252.4500000000116,16166.850000000093,0,0,0
7.2275,-1224.4500000000116,17229.850000000093,0,0,0
7.418,-1224.4500000000116,17229.850000000093,0,0,0
7.419,-1106.4500000000116,16718.850000000093,0,0,0
7.419,-1106.4500000000116,16718.850000000093,0,0,0
7.4403,-1014.4500000000116,16179.850000000093,0,0,0
7.6466,-1120.4500000000116,16290.850000000093,0,0,0
7.6466,-1120.4500000000116,16290.850000000093,0,0,0
7.6479,-1077.4500000000116,17000.850000000093,0,0,0
7.6479,-1077.4500000000116,17000.850000000093,0,0,0
7.6912,-969.4500000000116,16350.850000000093,0,0,0
7.8609,-832.4500000000116,16350.850000000093,0,0,0
7.862,-832.4500000000116,16022.850000000093,0,0,0
7.862,-850.4500000000116,16022.850000000093,0,0,0
7.8959,-850.4500000000116,16907.850000000093,0,0,0
8.0713,-825.4500000000116,16907.850000000093,0,0,0
8.0713,-825.4500000000116,17214.850000000093,0,0,0
8.0722,-694.4500000000116,16815.850000000093,0,0,0
8.0996,-637.4500000000116,16815.850000000093,0,0,0
8.3035,-637.4500000000116,16209.850000000093,0,0,0
8.3035,-603.4500000000116,16209.850000000093,0,0,0
